0,1,2,3,4,5,6,7
0,True,02-С-2009,Саморегулируемая организация Союз «Межрегиональное объединение организаций специального строительства»,"129164, г. Москва, ул. Маломосковская, д. 10, эт. 4, пом. 13",Москва,Москва,344
1,True,СРО-С-002-18032009,Ассоциация «Саморегулируемая организация «Межрегиональное объединение строителей»,"117588, Москва, ул. Тарусская, д. 10",Москва,Москва,69
2,True,СРО-С-003-22042009,Саморегулируемая организация Ассоциация «Объединение строителей Санкт-Петербурга»,"190000, Санкт-Петербург, Адмиралтейская наб., д. 10, лит. А, пом. 1-Н",Санкт-Петербург,Санкт-Петербург,70
3,True,СРО-С-004-28042009,Ассоциация региональное отраслевое объединение работодателей «Саморегулируемая организация «Алтайские строители»,"656043, Алтайский край, г. Барнаул, просп. Ленина, д. 23",Алтайский край,Сибирский ФО,71
4,True,СРО-С-005-28042009,Ассоциация  саморегулируемая организация  «Строители Черноземья»,"394036, г. Воронеж, ул. Фридриха Энгельса, д. 33б",Воронежская область,Центральный ФО,72
5,True,СРО-С-006-08052009,Региональное объединение работодателей «Союз «Саморегулируемая организация «Региональное объединение строителей Кубани»,"350051, Краснодарский край, г. Краснодар, ул. Дзержинского, д. 93/2",Краснодарский край,Южный ФО,73
6,True,СРО-С-007-14052009,Ассоциация - региональное отраслевое объединение работодателей «Саморегулируемая организация «Строительный Комплекс Вологодчины»,"162609, Вологодская область, г. Череповец, ул. Городецкая, д. 1, офис 8",Вологодская область,Северо-Западный ФО,74
7,True,СРО-С-008-19052009,Саморегулируемая организация Ассоциация компаний строительного комплекса «СОЮЗПЕТРОСТРОЙ-СТАНДАРТ»,"199034, г. Санкт-Петербург, линия 13-я В.О., дом 6-8, литер А, офис 34-35",Санкт-Петербург,Санкт-Петербург,75
8,True,СРО-С-009-22052009,Союз «Первая национальная организация строителей»,"107078, РОССИЯ, Г. МОСКВА, МУНИЦИПАЛЬНЫЙ ОКРУГ КРАСНОСЕЛЬСКИЙ ВН.ТЕР.Г., НОВАЯ БАСМАННАЯ УЛ., Д. 23Б, СТР. 20, ЭТАЖ 1, ПОМЕЩ. 104",Москва,Москва,76
9,False,СРО-С-010-28052009,Ассоциация саморегулируемая организация «Балтийский строительный комплекс»,"190103, г. Санкт-Петербург, Рижский проспект, дом 3, литер Б, 2 этаж, помещение 9",Санкт-Петербург,Санкт-Петербург,77
10,True,СРО-С-011-28052009,Ассоциация «Саморегулируемая корпорация строителей Красноярского края»,"660049, г. Красноярск, ул. Ленина, д. 5а, пом. 86",Красноярский край,Сибирский ФО,78
11,True,СРО-С-012-04062009,Ассоциация «Саморегулируемая организация «Строители Белгородской области»,"308036, г. Белгород, ул. Губкина, д. 48, корп. А",Белгородская область,Центральный ФО,79
12,True,СРО-С-013-11062009,Союз «Саморегулируемая организация строителей Камчатки»,"683031, г. Петропавловск-Камчатский, пр. Карла Маркса, д. 35, каб. 403",Камчатский край,Дальневосточный ФО,80
13,True,СРО-С-014-23062009,Ассоциация Саморегулируемая организация «Содружество строителей Республики Татарстан»,"420138, Республика Татарстан, г. Казань, Оренбургский тракт, 162а",Республика Татарстан,Приволжский ФО,81
14,True,СРО-С-015-25062009,Союз «Саморегулируемая организация строителей Тюменской области»,"625002, г. Тюмень, ул. Циолковского, д. 1",Тюменская область,Уральский ФО,82
15,True,СРО-С-016-30062009,"Саморегулируемая организация Ассоциация «Объединение организаций, выполняющих строительство, реконструкцию, капитальный ремонт объектов атомной отрасли «СОЮЗАТОМСТРОЙ»","119017, г. Москва, ул. Большая Ордынка, д. 29, стр. 1, этаж 2, офис 204",Москва,Москва,83
16,True,СРО-С-017-02072009,Саморегулируемая организация «Союз дорожно-транспортных строителей «СОЮЗДОРСТРОЙ»,"117485, Г.МОСКВА, ВН.ТЕР.Г. МУНИЦИПАЛЬНЫЙ ОКРУГ КОНЬКОВО, УЛ ПРОФСОЮЗНАЯ, Д. 84/32, К. 1, ПОМЕЩ. IX, КОМ. 5",Москва,Москва,84
17,True,СРО-С-018-16072009,Ассоциация в области строительства «Саморегулируемая организация «АЛЬЯНС СТРОИТЕЛЕЙ»,"105187, г. Москва, Окружной проезд, дом 18, корп. А, 4 этаж, комната 14",Москва,Москва,85
18,True,СРО-С-019-06072009,Ассоциация Региональное отраслевое объединение работодателей «Сахалинское Саморегулируемое Объединение Строителей»,"693000, Сахалинская область, г. Южно-Сахалинск, ул. Карла Маркса, д. 20, оф. 201",Сахалинская область,Дальневосточный ФО,86
19,True,СРО-С-020-22072009,Ассоциация «Объединение генеральных подрядчиков в строительстве»,"119049, г. Москва, ул. Коровий Вал, д. 9",Москва,Москва,87
20,True,СРО-С-021-23072009,Саморегулируемая организация «Союз строителей Омской области»,"644007, г. Омск, ул. Яковлева, д. 181",Омская область,Сибирский ФО,88
21,True,СРО-С-022-27072009,Ассоциация Региональное отраслевое объединение работодателей «Саморегулируемая организация строителей Байкальского региона»,"664075, г. Иркутск, ул. Байкальская, д. 180а, оф. 8",Иркутская область,Сибирский ФО,89
22,False,СРО-С-023-05082009,Ассоциация строителей Саморегулируемая организация «Реконструкция и Строительство»,"105203, г. Москва, ул. 15-я Парковая, д. 10А",Москва,Москва,90
23,True,СРО-С-024-06082009,Саморегулируемая организация Ассоциация «Альянс строителей Оренбуржья»,"460060, г. Оренбург, проезд Северный, д. 10/1",Оренбургская область,Приволжский ФО,91
24,True,СРО-С-025-10082009,Ассоциация Саморегулируемая организация работодателей «Союз строителей Республики Башкортостан»,"450008, Республика Башкортостан, г.Уфа, ул. Кирова, д. 1, оф. 421",Республика Башкортостан,Приволжский ФО,92
25,True,СРО-С-026-11082009,Ассоциация саморегулируемая организация «Объединение строительно-монтажных организаций»,"398050, г. Липецк, ул. Желябова, д. 14а",Липецкая область,Центральный ФО,93
26,True,СРО-С-027-12082009,Ассоциация «Саморегулируемая организация «СредВолгСтрой»,"443080, г. Самара, ул. Московское шоссе, д.55",Самарская область,Приволжский ФО,94
27,True,СРО-С-028-17082009,Ассоциация Саморегулируемая организация Межрегиональное отраслевое объединение работодателей «Гильдия строителей Северо-Кавказского федерального округа»,"367015, г. Махачкала, пр-кт. Али-Гаджи Акушинского, д. 98е",Республика Дагестан,Северо-Кавказский ФО,95
28,True,СРО-С-029-18082009,Ассоциация «Саморегулируемая организация «Самарская гильдия строителей»,"443010, г. Самара, ул. Чапаевская, д. 174",Самарская область,Приволжский ФО,96
29,True,СРО-С-030-24082009,Союз Строительных компаний Урала и Сибири,"454092, Челябинск, ул. Елькина, д. 84, 3 этаж",Челябинская область,Уральский ФО,97
30,True,СРО-С-031-25082009,Саморегулируемая организация Ассоциация «Объединение строителей Южного и Северо-Кавказского округов»,"344010, г. Ростов-на-Дону, ул. Красноармейская, д. 145, офис 301",Ростовская область,Южный ФО,98
31,True,СРО-С-032-31082009,Саморегулируемая организация Ассоциация «Томские строители»,"634029, г. Томск, проспект Фрунзе, 18, а/я 3312",Томская область,Сибирский ФО,99
