0,1,2,3,4,5,6,7,8,9,10
0,Общество с ограниченной ответственностью «Промсервис»,Исключен,1268,21.01.2010 00:00:00,1041100411923,1101041069,не указано,не указано,300000,не указано
1,Общество с ограниченной ответственностью «ВОСХОД»,Исключен,1738,11.03.2010 00:00:00,1057812631766,7806323673,не указано,не указано,300000,не указано
2,Общество с ограниченной ответственностью «Строительная Компания «РуссЛанд»,Исключен,1426,04.02.2010 00:00:00,1087847009359,7814426351,не указано,не указано,300000,не указано
3,Общество с ограниченной ответственностью «Сателитстрой»,Исключен,1661,18.02.2010 00:00:00,1089848051590,7813431060,не указано,не указано,300000,не указано
4,Общество с ограниченной ответственностью «Строительная Компания ИнтерСтройМонтаж»,Исключен,1242,21.01.2010 00:00:00,1077847258675,7805426676,не указано,не указано,300000,не указано
5,Общество с ограниченной ответственностью «СМУ-125»,Исключен,1140,14.01.2010 00:00:00,1026000954066,6027021048,не указано,не указано,500000,не указано
6,Общество с ограниченной ответственностью «АРТ ЛАЙН»,Исключен,1412,04.02.2010 00:00:00,1067847440495,7842330891,не указано,не указано,300000,не указано
7,Общество с ограниченной ответственностью «ПЕТРОЭЛЕКТРОСТРОЙ»,Исключен,877,30.12.2009 00:00:00,1057810192043,7810024281,не указано,не указано,300000,не указано
8,Закрытое акционерное общество «РосТехПром»,Исключен,853,24.12.2009 00:00:00,1089847121715,7841383820,не указано,не указано,300000,не указано
9,Открытое акционерное общество «110 Электрическая сеть»,Исключен,1092,14.01.2010 00:00:00,1095110000260,5110002360,не указано,не указано,300000,не указано
10,Общество с ограниченной ответственностью «Русь»,Исключен,1237,21.01.2010 00:00:00,1037811013734,7805082979,не указано,не указано,300000,не указано
11,Общество с ограниченной ответственностью «Ризолит»,Исключен,1139,14.01.2010 00:00:00,1086027006075,6027115465,не указано,не указано,300000,не указано
12,Закрытое акционерное общество «БалтТехМаш - Инвест»,Исключен,1578,11.02.2010 00:00:00,1047855125845,7802309283,не указано,не указано,300000,не указано
13,Общество с ограниченной ответственностью «ЖелДорСтрой»,Исключен,1090,14.01.2010 00:00:00,1027810263293,7826154342,не указано,не указано,300000,не указано
14,Общество с ограниченной ответственностью «Кадуйское дорожное управление»,Исключен,1560,11.02.2010 00:00:00,1023502289513,3510005410,не указано,не указано,300000,не указано
15,Общество с ограниченной ответственностью «Трасстрой СТФ»,Исключен,1347,28.01.2010 00:00:00,1047855166215,7801370990,не указано,не указано,300000,не указано
16,Общество с ограниченной ответственностью «ЛЕГИОН-СТРОЙ»,Исключен,1284,28.01.2010 00:00:00,1077847415183,7816415718,не указано,не указано,300000,не указано
17,Общество с ограниченной ответственностью «АЛЬЯНС-РЕНЕССАНС»,Исключен,944,30.12.2009 00:00:00,1084708000222,4708020940,не указано,не указано,300000,не указано
18,Общество с ограниченной ответственностью «ЛенСтройПодряд»,Исключен,1429,04.02.2010 00:00:00,1077847022516,7811366390,не указано,не указано,300000,не указано
19,Общество с ограниченной ответственностью «Ваша Строительная Компания»,Исключен,1438,04.02.2010 00:00:00,1093528009937,3528160150,не указано,не указано,500000,не указано
20,Общество с ограниченной ответственностью «Дорстроймагистраль»,Исключен,1351,28.01.2010 00:00:00,1083525018367,3525215562,не указано,не указано,300000,не указано
21,Общество с ограниченной ответственностью «СтройРегион 47»,Исключен,1057,14.01.2010 00:00:00,1089847252989,7813418284,не указано,не указано,300000,не указано
22,Общество с ограниченной ответственностью «Продэкс»,Исключен,1222,21.01.2010 00:00:00,1027804917755,7810159401,не указано,не указано,300000,не указано
23,Общество с ограниченной ответственностью «Строительная торговая компания «Альянс»,Исключен,1290,28.01.2010 00:00:00,1083801000887,3801094091,не указано,не указано,300000,не указано
